step,time_s,serve,side,phase,base_x,base_y,base_z,roll_deg,pitch_deg,yaw_deg,angvel_x,angvel_y,angvel_z,qd_absmax,act_absmax,act_argmax_joint,qdes_absmax,nan,fallen,ball_x,ball_y,ball_z,q:left_hip_pitch_joint,q:right_hip_pitch_joint,q:waist_yaw_joint,q:left_hip_roll_joint,q:right_hip_roll_joint,q:waist_roll_joint,q:left_hip_yaw_joint,q:right_hip_yaw_joint,q:waist_pitch_joint,q:left_knee_joint,q:right_knee_joint,q:left_shoulder_pitch_joint,q:right_shoulder_pitch_joint,q:left_ankle_pitch_joint,q:right_ankle_pitch_joint,q:left_shoulder_roll_joint,q:right_shoulder_roll_joint,q:left_ankle_roll_joint,q:right_ankle_roll_joint,q:left_shoulder_yaw_joint,q:right_shoulder_yaw_joint,q:left_elbow_joint,q:right_elbow_joint,q:left_wrist_roll_joint,q:right_wrist_roll_joint,q:left_wrist_pitch_joint,q:right_wrist_pitch_joint,q:left_wrist_yaw_joint,q:right_wrist_yaw_joint,qd:left_hip_pitch_joint,qd:right_hip_pitch_joint,qd:waist_yaw_joint,qd:left_hip_roll_joint,qd:right_hip_roll_joint,qd:waist_roll_joint,qd:left_hip_yaw_joint,qd:right_hip_yaw_joint,qd:waist_pitch_joint,qd:left_knee_joint,qd:right_knee_joint,qd:left_shoulder_pitch_joint,qd:right_shoulder_pitch_joint,qd:left_ankle_pitch_joint,qd:right_ankle_pitch_joint,qd:left_shoulder_roll_joint,qd:right_shoulder_roll_joint,qd:left_ankle_roll_joint,qd:right_ankle_roll_joint,qd:left_shoulder_yaw_joint,qd:right_shoulder_yaw_joint,qd:left_elbow_joint,qd:right_elbow_joint,qd:left_wrist_roll_joint,qd:right_wrist_roll_joint,qd:left_wrist_pitch_joint,qd:right_wrist_pitch_joint,qd:left_wrist_yaw_joint,qd:right_wrist_yaw_joint,act:left_hip_pitch_joint,act:right_hip_pitch_joint,act:waist_yaw_joint,act:left_hip_roll_joint,act:right_hip_roll_joint,act:waist_roll_joint,act:left_hip_yaw_joint,act:right_hip_yaw_joint,act:waist_pitch_joint,act:left_knee_joint,act:right_knee_joint,act:left_shoulder_pitch_joint,act:right_shoulder_pitch_joint,act:left_ankle_pitch_joint,act:right_ankle_pitch_joint,act:left_shoulder_roll_joint,act:right_shoulder_roll_joint,act:left_ankle_roll_joint,act:right_ankle_roll_joint,act:left_shoulder_yaw_joint,act:right_shoulder_yaw_joint,act:left_elbow_joint,act:right_elbow_joint,act:left_wrist_roll_joint,act:right_wrist_roll_joint,act:left_wrist_pitch_joint,act:right_wrist_pitch_joint,act:left_wrist_yaw_joint,act:right_wrist_yaw_joint
10,0.2,1,FH,swing,-1.6,0.0108,0.775,3.46,-4.79,11.31,0.34,0.327,1.005,2.97,4.766,right_shoulder_yaw_joint,1.528,0,0,0.143,-0.354,1.799,-0.0843,-0.0407,0.4887,-0.1932,-0.2603,0.0611,-0.3703,-0.2431,-0.0951,0.349,0.4928,0.0515,0.0135,-0.1611,-0.3283,-0.2052,-0.2377,-0.1376,0.1579,0.0186,-0.9989,0.6886,1.4947,0.0888,-0.787,-0.0985,0.2978,0.2522,-0.274,-0.1647,-0.4061,1.521,-0.6685,-0.7305,0.6234,-1.0386,-0.4505,-1.1007,-0.8571,0.4928,0.84,0.1948,0.819,-0.2239,-0.9247,-0.223,-0.3992,0.2275,-0.1871,-2.4957,0.6542,0.89,0.7329,-2.9697,0.1413,1.1879,0.388,0.3555,1.1911,-0.9481,2.257,-0.2023,-1.4098,0.6505,-2.6631,-0.8623,-0.5767,0.2432,0.5417,-1.1778,-0.3133,1.804,-0.2357,-2.1689,-0.8043,-1.0323,0.9156,0.0299,-4.7659,0.4264,4.1129,0.619,-4.1632,-0.3933,1.462,1.1119,-0.9632
11,0.22,1,FH,swing,-1.6027,0.0098,0.7749,3.85,-4.57,12.29,0.269,0.208,0.825,2.993,4.938,right_shoulder_yaw_joint,1.564,0,0,0.108,-0.351,1.838,-0.0887,-0.0496,0.5166,-0.2053,-0.2738,0.0775,-0.3892,-0.2516,-0.1158,0.3356,0.504,0.0679,0.0131,-0.1464,-0.3326,-0.221,-0.2435,-0.1446,0.1622,0.0155,-1.0492,0.699,1.5106,0.1045,-0.8497,-0.094,0.3191,0.259,-0.2653,-0.224,-0.4364,1.2869,-0.5435,-0.6099,0.989,-0.8706,-0.3889,-0.971,-0.571,0.5619,0.7926,-0.171,0.6913,-0.1988,-0.6787,-0.3279,-0.3018,0.1663,-0.1251,-2.3606,0.4422,0.6878,0.7572,-2.9933,0.239,0.9401,0.2979,0.4401,1.1527,-0.9056,2.2946,-0.2044,-1.4566,0.5955,-2.6607,-0.8915,-0.5542,0.294,0.596,-1.1529,-0.1563,1.7674,-0.1743,-2.1886,-0.8233,-0.9757,0.9378,0.0438,-4.9378,0.3747,4.2549,0.6721,-4.3611,-0.3597,1.542,1.1208,-0.9157
12,0.24,1,FH,swing,-1.6062,0.0086,0.7745,4.14,-4.48,13.13,0.207,0.085,0.714,2.872,5.074,right_shoulder_yaw_joint,1.591,0,0,0.073,-0.349,1.874,-0.094,-0.0586,0.5404,-0.2155,-0.2852,0.1008,-0.4055,-0.2595,-0.1344,0.3275,0.5166,0.0828,0.0073,-0.1338,-0.3364,-0.2327,-0.2517,-0.1479,0.1659,0.014,-1.0966,0.7052,1.5241,0.12,-0.9107,-0.0879,0.3364,0.2643,-0.2556,-0.254,-0.4371,1.1156,-0.4587,-0.5198,1.3092,-0.7716,-0.3848,-0.8939,-0.3257,0.6444,0.7004,-0.3615,0.5936,-0.1555,-0.5059,-0.4608,-0.1077,0.1572,-0.0479,-2.2175,0.2387,0.6252,0.7305,-2.8722,0.3047,0.7747,0.2367,0.473,1.1172,-0.8803,2.334,-0.224,-1.4844,0.5312,-2.6836,-0.9125,-0.5164,0.3314,0.6383,-1.1405,-0.0542,1.7281,-0.1426,-2.1958,-0.8355,-0.9183,0.9627,0.0623,-5.0741,0.3312,4.3626,0.7056,-4.5158,-0.3236,1.6079,1.1248,-0.874
13,0.26,1,FH,swing,-1.6105,0.0072,0.7739,4.35,-4.51,13.9,0.168,-0.02,0.656,2.629,5.179,right_shoulder_yaw_joint,1.608,0,0,0.038,-0.346,1.905,-0.0995,-0.0674,0.5613,-0.2244,-0.295,0.1294,-0.4207,-0.2671,-0.1518,0.3234,0.5304,0.0954,-0.0006,-0.1227,-0.3394,-0.2413,-0.2622,-0.1477,0.1695,0.014,-1.1402,0.7077,1.5367,0.1341,-0.9674,-0.0808,0.3509,0.2684,-0.2456,-0.2588,-0.4117,0.9889,-0.4079,-0.4464,1.5366,-0.7299,-0.3641,-0.8504,-0.1576,0.6909,0.5723,-0.4077,0.5294,-0.1323,-0.3619,-0.5532,0.0401,0.1465,0.0318,-2.033,0.0605,0.599,0.6488,-2.6289,0.3469,0.6643,0.1821,0.4796,1.0903,-0.873,2.3711,-0.2516,-1.4997,0.4677,-2.718,-0.9224,-0.4677,0.3569,0.6655,-1.1383,0.0092,1.6852,-0.137,-2.1961,-0.84,-0.8545,0.9832,0.0787,-5.1795,0.2966,4.4336,0.7224,-4.6384,-0.2878,1.6655,1.1247,-0.8341
14,0.28,1,FH,swing,-1.6153,0.0055,0.7733,4.5,-4.63,14.61,0.146,-0.099,0.621,2.33,5.263,right_shoulder_yaw_joint,1.619,0,0,0.004,-0.344,1.932,-0.1047,-0.0755,0.5801,-0.2323,-0.3034,0.1617,-0.4353,-0.2742,-0.1686,0.3217,0.5448,0.1052,-0.0083,-0.1126,-0.3421,-0.2472,-0.2738,-0.1446,0.1725,0.0155,-1.1796,0.707,1.5485,0.146,-1.0182,-0.0731,0.3638,0.2715,-0.2356,-0.245,-0.3813,0.8949,-0.3699,-0.3861,1.6816,-0.7123,-0.3421,-0.8275,-0.0649,0.708,0.4268,-0.3596,0.494,-0.1221,-0.2337,-0.586,0.1635,0.121,0.1,-1.8169,-0.0817,0.5532,0.5324,-2.3301,0.3676,0.5975,0.1328,0.479,1.0722,-0.8771,2.4039,-0.2814,-1.5086,0.4098,-2.7552,-0.9221,-0.4124,0.3747,0.6808,-1.1415,0.0477,1.6415,-0.1488,-2.194,-0.8365,-0.7825,0.9967,0.0911,-5.2633,0.2691,4.4749,0.7271,-4.74,-0.253,1.7173,1.1218,-0.7942
15,0.3,1,FH,swing,-1.6204,0.0034,0.7725,4.62,-4.82,15.3,0.137,-0.162,0.593,2.033,5.335,right_shoulder_yaw_joint,1.624,0,0,-0.031,-0.341,1.955,-0.1095,-0.0829,0.5971,-0.2396,-0.3107,0.1962,-0.4493,-0.2808,-0.1848,0.3212,0.5592,0.1121,-0.0145,-0.1027,-0.3447,-0.2506,-0.2853,-0.1394,0.1748,0.0181,-1.2143,0.7039,1.5588,0.1553,-1.0627,-0.0652,0.3757,0.2736,-0.2255,-0.2242,-0.3502,0.8078,-0.3332,-0.3354,1.767,-0.6753,-0.319,-0.803,-0.0192,0.7077,0.2819,-0.265,0.4878,-0.114,-0.1221,-0.5638,0.2487,0.0801,0.1499,-1.5954,-0.1885,0.4743,0.4057,-2.0326,0.3727,0.5582,0.0904,0.4778,1.0604,-0.886,2.4325,-0.309,-1.515,0.3582,-2.7915,-0.9135,-0.3546,0.3892,0.6887,-1.1462,0.0711,1.5993,-0.172,-2.1908,-0.8265,-0.7023,1.0041,0.1009,-5.3349,0.246,4.4967,0.7245,-4.8312,-0.2198,1.7659,1.1162,-0.754
16,0.32,1,FH,swing,-1.6258,0.001,0.7717,4.71,-5.08,15.94,0.13,-0.214,0.555,1.817,5.401,right_shoulder_yaw_joint,1.627,0,0,-0.065,-0.338,1.974,-0.1137,-0.0897,0.6124,-0.246,-0.3169,0.232,-0.4628,-0.2867,-0.2005,0.3211,0.5735,0.1163,-0.0186,-0.093,-0.347,-0.2521,-0.296,-0.1323,0.176,0.0215,-1.2447,0.6989,1.5672,0.162,-1.1015,-0.0574,0.387,0.2749,-0.2155,-0.1888,-0.3274,0.7243,-0.2944,-0.2794,1.8174,-0.6681,-0.2826,-0.7704,-0.0028,0.7009,0.1561,-0.1549,0.4782,-0.1068,-0.0344,-0.5046,0.3363,0.0334,0.1823,-1.3943,-0.2706,0.3782,0.2874,-1.7752,0.3671,0.5368,0.053,0.4764,1.0519,-0.8944,2.4583,-0.3358,-1.5212,0.3112,-2.824,-0.9023,-0.2968,0.4043,0.6925,-1.1515,0.0847,1.5613,-0.2024,-2.1877,-0.8118,-0.6156,1.0078,0.1098,-5.4008,0.2242,4.5088,0.7172,-4.9162,-0.189,1.811,1.1101,-0.7149
17,0.34,1,FH,swing,-1.6313,-0.0018,0.7708,4.8,-5.36,16.53,0.18,-0.159,0.499,1.95,5.439,right_shoulder_yaw_joint,1.639,0,0,-0.099,-0.336,1.989,-0.1174,-0.0967,0.626,-0.2519,-0.3223,0.2665,-0.4759,-0.2915,-0.2155,0.3207,0.5874,0.1182,-0.023,-0.083,-0.3496,-0.2519,-0.3068,-0.1238,0.1752,0.0258,-1.2692,0.6923,1.5713,0.1665,-1.138,-0.0498,0.4023,0.2756,-0.206,-0.202,-0.3949,0.6422,-0.2997,-0.2683,1.4676,-0.6373,-0.1783,-0.7643,-0.1082,0.6553,0.0552,-0.5091,0.5549,-0.1587,0.0572,-0.7429,0.3474,-0.1871,0.271,-0.8638,-0.3863,-0.1394,0.1885,-1.9503,0.3531,1.2489,0.037,0.3876,1.0438,-0.8957,2.4757,-0.3477,-1.5315,0.2968,-2.8653,-0.901,-0.2555,0.4012,0.6858,-1.151,0.1392,1.542,-0.2046,-2.1664,-0.8006,-0.5495,1.0019,0.1111,-5.4392,0.2057,4.5546,0.7044,-4.9965,-0.1713,1.8849,1.1187,-0.6918
18,0.36,1,FH,swing,-1.6367,-0.0051,0.7699,4.9,-5.63,17.1,0.113,-0.263,0.505,1.543,5.525,right_shoulder_yaw_joint,1.645,0,0,-0.133,-0.333,2.0,-0.1204,-0.1034,0.6382,-0.2568,-0.3266,0.2942,-0.4893,-0.2961,-0.2308,0.3186,0.6002,0.118,-0.0354,-0.0724,-0.352,-0.2506,-0.3265,-0.1156,0.1725,0.0305,-1.2856,0.6844,1.5669,0.1691,-1.1745,-0.043,0.4245,0.2766,-0.1995,-0.1011,-0.2615,0.5892,-0.1749,-0.1564,1.4352,-0.6799,-0.2824,-0.7514,-0.0657,0.6364,-0.0617,-0.524,0.4665,-0.0711,0.0576,-1.0628,0.3897,-0.051,0.1855,-0.8517,-0.3695,-0.151,0.0947,-1.5427,0.3039,0.7156,0.0461,0.28,1.0443,-0.9098,2.4794,-0.3507,-1.5706,0.3227,-2.8764,-0.8866,-0.192,0.4381,0.6766,-1.1597,0.1885,1.5047,-0.2507,-2.1661,-0.7679,-0.4469,0.9905,0.106,-5.525,0.1966,4.5809,0.6996,-5.1085,-0.1305,1.9951,1.1119,-0.6513
19,0.38,1,FH,swing,-1.6424,-0.0085,0.769,4.87,-6.06,17.66,0.086,-0.395,0.476,1.516,5.634,right_shoulder_yaw_joint,1.649,0,0,-0.167,-0.331,2.007,-0.1215,-0.1072,0.6489,-0.2598,-0.329,0.3241,-0.5027,-0.3021,-0.2444,0.3188,0.6133,0.1158,-0.043,-0.0642,-0.3533,-0.2496,-0.3469,-0.1053,0.1718,0.0332,-1.3051,0.6768,1.5651,0.1704,-1.2044,-0.0363,0.4365,0.2771,-0.1927,-0.0287,-0.1623,0.4978,-0.1227,-0.0931,1.516,-0.6444,-0.2978,-0.6335,0.0436,0.6551,-0.1302,-0.2665,0.3767,-0.0569,0.0463,-0.965,0.4921,-0.0412,0.1068,-0.9729,-0.3801,-0.0493,0.0489,-1.3685,0.3247,0.5176,0.0161,0.3459,1.0259,-0.9337,2.4943,-0.3774,-1.5973,0.3264,-2.8778,-0.8699,-0.1309,0.4769,0.6855,-1.1704,0.1835,1.4614,-0.3419,-2.1702,-0.7457,-0.3259,0.9952,0.1119,-5.6339,0.1901,4.5965,0.6944,-5.2325,-0.092,2.06,1.1079,-0.6162
