step,time_s,serve,side,phase,base_x,base_y,base_z,roll_deg,pitch_deg,yaw_deg,angvel_x,angvel_y,angvel_z,qd_absmax,act_absmax,act_argmax_joint,qdes_absmax,nan,fallen,ball_x,ball_y,ball_z,q:left_hip_pitch_joint,q:right_hip_pitch_joint,q:waist_yaw_joint,q:left_hip_roll_joint,q:right_hip_roll_joint,q:waist_roll_joint,q:left_hip_yaw_joint,q:right_hip_yaw_joint,q:waist_pitch_joint,q:left_knee_joint,q:right_knee_joint,q:left_shoulder_pitch_joint,q:right_shoulder_pitch_joint,q:left_ankle_pitch_joint,q:right_ankle_pitch_joint,q:left_shoulder_roll_joint,q:right_shoulder_roll_joint,q:left_ankle_roll_joint,q:right_ankle_roll_joint,q:left_shoulder_yaw_joint,q:right_shoulder_yaw_joint,q:left_elbow_joint,q:right_elbow_joint,q:left_wrist_roll_joint,q:right_wrist_roll_joint,q:left_wrist_pitch_joint,q:right_wrist_pitch_joint,q:left_wrist_yaw_joint,q:right_wrist_yaw_joint,qd:left_hip_pitch_joint,qd:right_hip_pitch_joint,qd:waist_yaw_joint,qd:left_hip_roll_joint,qd:right_hip_roll_joint,qd:waist_roll_joint,qd:left_hip_yaw_joint,qd:right_hip_yaw_joint,qd:waist_pitch_joint,qd:left_knee_joint,qd:right_knee_joint,qd:left_shoulder_pitch_joint,qd:right_shoulder_pitch_joint,qd:left_ankle_pitch_joint,qd:right_ankle_pitch_joint,qd:left_shoulder_roll_joint,qd:right_shoulder_roll_joint,qd:left_ankle_roll_joint,qd:right_ankle_roll_joint,qd:left_shoulder_yaw_joint,qd:right_shoulder_yaw_joint,qd:left_elbow_joint,qd:right_elbow_joint,qd:left_wrist_roll_joint,qd:right_wrist_roll_joint,qd:left_wrist_pitch_joint,qd:right_wrist_pitch_joint,qd:left_wrist_yaw_joint,qd:right_wrist_yaw_joint,act:left_hip_pitch_joint,act:right_hip_pitch_joint,act:waist_yaw_joint,act:left_hip_roll_joint,act:right_hip_roll_joint,act:waist_roll_joint,act:left_hip_yaw_joint,act:right_hip_yaw_joint,act:waist_pitch_joint,act:left_knee_joint,act:right_knee_joint,act:left_shoulder_pitch_joint,act:right_shoulder_pitch_joint,act:left_ankle_pitch_joint,act:right_ankle_pitch_joint,act:left_shoulder_roll_joint,act:right_shoulder_roll_joint,act:left_ankle_roll_joint,act:right_ankle_roll_joint,act:left_shoulder_yaw_joint,act:right_shoulder_yaw_joint,act:left_elbow_joint,act:right_elbow_joint,act:left_wrist_roll_joint,act:right_wrist_roll_joint,act:left_wrist_pitch_joint,act:right_wrist_pitch_joint,act:left_wrist_yaw_joint,act:right_wrist_yaw_joint
1628,32.56,16,BH,follow_through,-2.3729,0.7028,0.6738,-5.83,-25.88,-70.56,-0.108,0.735,-2.563,3.807,7.827,right_shoulder_roll_joint,2.057,0,0,-1.635,0.341,4.804,-0.1239,-0.3712,0.264,0.8508,0.1639,0.1423,0.6875,0.3237,-0.4612,0.0111,1.4517,0.3984,-0.9371,-0.4935,-0.7645,0.656,-2.1697,-0.0698,0.1009,-1.6664,0.6159,1.5303,-0.5188,-1.069,0.5448,-0.4362,-0.3304,0.0332,-0.8956,-3.3785,-0.1464,2.1069,3.8066,-0.8099,1.392,2.6073,2.307,-0.6021,-0.668,1.7505,-2.4331,0.5315,-0.3174,0.3148,-2.8252,-1.2611,-1.8808,0.6933,-0.9962,-0.0887,0.7681,0.7549,-3.2234,-0.1222,1.3646,-1.8222,-1.3307,0.9317,-1.4156,-0.128,3.2038,3.8273,0.9227,0.8745,3.8784,0.8756,-1.6557,-1.1667,4.7715,2.6698,-3.4006,-1.6168,-2.4552,-0.6976,-7.8271,-1.1052,0.5851,-7.1233,2.8824,3.7856,-3.523,-5.0279,2.3566,-1.2144,-1.7664,-0.1056,-3.4126
1629,32.58,16,BH,follow_through,-2.3851,0.7303,0.6467,-6.72,-25.96,-73.28,-0.355,0.541,-2.751,3.386,7.991,right_shoulder_roll_joint,2.098,0,0,-1.651,0.34,4.84,-0.1885,-0.3669,0.3116,0.9251,0.1485,0.172,0.7423,0.3648,-0.4744,0.0021,1.4675,0.3614,-0.929,-0.5075,-0.762,0.5935,-2.1872,-0.118,0.1118,-1.6855,0.6195,1.5429,-0.499,-1.1258,0.5476,-0.407,-0.3655,0.0174,-0.8807,-3.1327,0.4177,2.5144,3.3863,-0.8211,1.426,2.4882,1.8776,-0.6344,-0.4292,0.3844,-1.3733,0.3269,-0.7199,0.0391,-3.2862,-0.5324,-2.2511,0.4538,-0.8925,0.3427,0.4804,1.119,-2.4935,0.2747,1.3918,-1.5787,-0.5373,0.5883,-1.1359,-0.3674,3.1336,3.9127,1.0252,0.8692,3.9686,0.6001,-1.6994,-1.1471,4.5783,2.6432,-3.4372,-1.7627,-2.555,-0.5686,-7.9912,-1.3162,0.5378,-7.1122,3.0042,3.8873,-3.3353,-5.042,2.5466,-1.1557,-1.7926,-0.0145,-3.5143
1630,32.6,16,BH,follow_through,-2.3965,0.7575,0.6163,-7.4,-26.43,-76.28,-0.622,0.315,-2.918,3.421,8.12,right_shoulder_roll_joint,2.13,0,0,-1.666,0.339,4.873,-0.2446,-0.3552,0.366,0.9891,0.1337,0.2008,0.7933,0.3931,-0.4868,-0.0062,1.4651,0.3449,-0.9239,-0.5279,-0.7663,0.5257,-2.193,-0.1564,0.1163,-1.7017,0.6325,1.5495,-0.4733,-1.1678,0.5603,-0.3807,-0.3945,0.0128,-0.8752,-2.6182,0.6624,2.7944,2.8862,-0.7302,1.3608,2.3072,1.0793,-0.5681,-0.4309,-0.2805,-0.3777,0.2222,-1.0094,-0.2721,-3.4206,-0.0551,-1.6534,0.1646,-0.7358,0.8208,0.19,1.3968,-1.8024,0.7962,1.199,-1.2549,-0.1091,0.096,-0.9263,-0.5281,3.1279,3.9704,1.097,0.9067,4.0289,0.3662,-1.7466,-1.2065,4.4726,2.5616,-3.5005,-1.885,-2.6208,-0.481,-8.1201,-1.4301,0.4719,-7.0678,3.0923,3.9499,-3.1841,-5.0272,2.7775,-1.1558,-1.828,0.0178,-3.6298
1631,32.62,16,BH,follow_through,-2.4076,0.7845,0.5824,-7.85,-27.28,-79.52,-0.871,0.121,-3.019,3.333,8.232,right_shoulder_roll_joint,2.158,0,0,-1.681,0.338,4.901,-0.2888,-0.341,0.4247,1.0415,0.1215,0.2273,0.8389,0.4039,-0.4975,-0.0179,1.456,0.3466,-0.9203,-0.5516,-0.7742,0.4579,-2.1918,-0.1845,0.1151,-1.7135,0.6542,1.5503,-0.4428,-1.1967,0.5846,-0.3601,-0.4173,0.0124,-0.879,-2.0072,0.7183,2.9635,2.3179,-0.5398,1.2474,2.0547,0.1522,-0.4856,-0.612,-0.4607,0.466,0.1696,-1.1377,-0.4004,-3.3327,0.2051,-1.2068,-0.0885,-0.5058,1.2213,-0.0869,1.6142,-1.2028,1.3692,0.8965,-0.9685,0.0077,-0.3307,-0.7668,-0.6377,3.152,3.9954,1.1377,0.9553,4.0496,0.1821,-1.7918,-1.2804,4.4079,2.4569,-3.588,-1.9479,-2.6443,-0.4503,-8.2316,-1.494,0.4052,-7.0002,3.13,3.9812,-3.0488,-4.999,3.017,-1.187,-1.8746,0.0064,-3.7305
1632,32.64,16,BH,follow_through,-2.4186,0.8116,0.545,-8.27,-28.76,-82.62,-1.921,0.306,-2.481,4.949,8.391,right_shoulder_roll_joint,2.198,0,0,-1.696,0.337,4.925,-0.3193,-0.3615,0.4823,1.08,0.1361,0.2558,0.876,0.4057,-0.5003,-0.034,1.4898,0.3609,-0.918,-0.5742,-0.7795,0.3909,-2.1881,-0.205,0.1461,-1.7199,0.6819,1.546,-0.4083,-1.2149,0.6195,-0.3454,-0.4353,0.0117,-0.8893,-1.2944,-3.1337,2.2529,1.347,2.3852,1.9531,1.4812,0.0097,0.5265,-0.948,4.9487,0.7742,0.1007,-1.0521,-0.1693,-3.4945,0.0624,-0.9177,3.054,-0.2518,1.4819,-0.3463,1.8181,-0.7172,1.8405,0.6772,-0.7611,-0.0616,-0.5904,-0.5553,-0.822,3.4327,4.1631,1.373,1.1495,4.223,-0.2387,-1.9534,-1.5448,4.4964,2.3672,-3.8767,-1.5752,-2.3282,-0.5214,-8.3915,-1.4703,0.3341,-6.7758,2.7456,4.0344,-3.0497,-4.9419,3.3819,-1.1788,-2.0379,-0.5216,-3.9427
1633,32.66,16,BH,follow_through,-2.4268,0.8395,0.5068,-11.0,-32.52,-82.56,-4.202,2.303,-0.524,5.045,8.157,right_shoulder_roll_joint,2.139,0,0,-1.711,0.337,4.946,-0.3391,-0.4117,0.5141,1.0982,0.1948,0.3196,0.9169,0.3796,-0.4869,-0.0647,1.5981,0.3765,-0.9137,-0.5721,-0.7701,0.3185,-2.2019,-0.2217,0.1923,-1.716,0.711,1.5375,-0.3724,-1.2233,0.6684,-0.3322,-0.4514,-0.0144,-0.9067,-0.9449,-1.6789,1.1421,0.4848,2.763,3.9389,2.0931,-2.4048,0.5169,-1.4996,5.0452,0.9076,0.2428,0.3042,0.8642,-3.5725,-1.1767,-0.722,1.7199,0.3424,1.5,-0.5382,1.8018,-0.2557,2.6154,0.6072,-0.6994,-1.6764,-0.9785,0.3674,-1.238,3.7248,3.1285,1.3145,0.0824,3.5889,-0.6278,-2.4203,-0.8759,2.2276,2.3884,-4.2294,-0.006,-1.1565,-0.448,-8.1567,-2.0583,0.5624,-6.4694,2.4862,3.7257,-3.1246,-4.6296,3.6343,-0.6223,-1.8204,-0.7472,-3.6573
1634,32.68,16,BH,follow_through,-2.4297,0.8676,0.4733,-16.54,-37.4,-78.62,-5.058,3.626,1.096,4.978,7.748,right_shoulder_roll_joint,2.037,0,0,-1.726,0.336,4.962,-0.3517,-0.4133,0.5333,1.0796,0.2294,0.4006,0.9238,0.3173,-0.5043,-0.0744,1.6555,0.4049,-0.9152,-0.4864,-0.7208,0.2566,-2.227,-0.2329,0.2635,-1.6971,0.7502,1.5142,-0.3415,-1.2133,0.7273,-0.2956,-0.4503,-0.0558,-0.9126,0.1431,0.9559,1.0503,-1.6318,1.1886,4.0377,0.0719,-3.5219,-2.0947,0.2868,1.3826,1.9965,-0.1949,4.9782,3.2382,-2.6319,-1.2216,-0.4719,3.4816,1.1142,2.1504,-1.4452,1.4547,0.7804,2.9556,2.179,0.414,-2.0877,-0.029,1.1424,-2.6331,3.2543,2.0973,1.0424,-0.9355,2.3227,-0.6974,-2.3858,0.1495,-1.1123,2.0593,-4.4495,1.3571,-0.7631,-0.0682,-7.748,-2.9478,0.5896,-6.0763,2.4549,3.1852,-3.1348,-4.3575,3.7218,0.2361,-1.1596,-0.4093,-3.0309
1635,32.7,16,BH,follow_through,-2.4279,0.8979,0.4464,-24.93,-42.52,-70.22,-6.794,4.469,3.391,4.986,7.245,right_shoulder_roll_joint,1.911,0,0,-1.74,0.335,4.975,-0.3356,-0.3534,0.5253,1.0094,0.2244,0.4784,0.8518,0.2353,-0.5431,-0.0654,1.6492,0.4588,-0.9366,-0.3693,-0.6494,0.2182,-2.2319,-0.2521,0.289,-1.6595,0.7933,1.464,-0.3145,-1.1868,0.7837,-0.2175,-0.4126,-0.0761,-0.8875,1.859,4.9859,-1.5457,-4.118,-0.6002,4.3859,-4.314,-4.2952,-0.6183,-3.4307,-1.367,2.9493,-1.7192,1.2097,3.6984,-1.5974,0.1866,-2.2555,0.3124,2.0991,1.8769,-2.8809,1.4573,1.4423,2.6554,4.2567,2.3147,-0.5577,1.6237,0.0671,-4.3579,2.4624,2.4038,1.4841,-0.7168,1.1645,-0.7761,-2.0128,0.1545,-2.361,1.1822,-4.853,3.253,0.1064,0.5618,-7.245,-3.0241,0.1805,-5.7128,2.3776,2.5428,-3.2844,-4.2412,3.3275,0.778,-0.4678,0.2145,-2.5639
1636,32.72,16,BH,follow_through,-2.4264,0.9312,0.4194,-36.28,-46.97,-58.39,-5.622,3.886,3.42,6.57,7.54,right_shoulder_roll_joint,1.985,0,0,-1.755,0.334,4.983,-0.3739,-0.2664,0.4753,0.954,0.2218,0.5511,0.7093,0.1515,-0.5458,-0.1117,1.6179,0.5276,-0.9977,-0.3141,-0.5697,0.211,-2.2036,-0.2788,0.2874,-1.6072,0.8296,1.3821,-0.2827,-1.1558,0.8167,-0.1173,-0.3375,-0.0551,-0.8423,-3.196,3.3146,-2.6064,-2.7879,-0.571,1.2644,-6.5703,-3.0388,0.0416,-0.5325,-1.1904,3.8003,-3.7404,4.5837,3.8209,0.9047,2.1757,-0.2759,-0.2231,2.5691,2.74,-4.2874,1.6726,1.4947,1.1988,5.0263,4.0461,1.5161,2.156,1.1252,-4.8112,2.2561,3.3094,1.6426,-0.0541,1.014,-1.2769,-2.2242,-0.0092,-2.1226,0.819,-4.2799,1.6703,-0.7806,0.7263,-7.5395,-3.319,-0.2824,-5.4943,2.6752,2.739,-2.7724,-4.096,2.8764,0.7929,-0.363,0.4921,-2.7197
1637,32.74,16,BH,follow_through,-2.4271,0.9646,0.395,-45.54,-50.21,-48.07,-5.569,2.35,2.779,6.031,7.81,right_shoulder_roll_joint,2.052,0,1,-1.77,0.333,4.988,-0.4109,-0.1987,0.4431,0.9205,0.2218,0.5509,0.6091,0.1165,-0.5433,-0.0817,1.5868,0.6061,-1.0434,-0.2244,-0.4932,0.2484,-2.1653,-0.2764,0.2802,-1.5573,0.8851,1.3106,-0.2325,-1.1231,0.8166,-0.0261,-0.2616,-0.015,-0.8109,-1.1506,3.8095,-1.372,-1.0983,0.3053,-0.5076,-4.3955,-1.4027,0.1638,3.2582,-2.3308,3.9581,-1.058,6.0312,4.0568,2.4556,1.6435,0.2898,-0.3749,2.2528,2.4864,-2.9221,2.9667,1.5708,-0.4941,4.0814,3.5386,2.0348,1.3398,1.8273,-5.389,2.1361,4.3316,1.7293,0.7219,1.3668,-1.938,-1.4696,0.1038,-1.5365,0.451,-3.653,0.1876,-2.2262,0.5239,-7.81,-3.6304,-1.0239,-5.3933,3.164,3.1676,-2.3974,-4.0,3.1724,0.7481,-0.7284,0.5108,-3.1197
1638,32.76,16,BH,follow_through,-2.427,1.0001,0.3741,-56.87,-52.88,-36.56,-6.371,2.802,2.118,4.596,7.517,right_shoulder_roll_joint,1.979,0,1,-1.785,0.332,4.988,-0.4008,-0.1114,0.4221,0.9288,0.2403,0.5403,0.5707,0.085,-0.5399,0.0059,1.5198,0.6814,-1.0292,-0.1776,-0.4141,0.3041,-2.1447,-0.2706,0.2335,-1.5168,0.9332,1.2796,-0.1631,-1.0906,0.8151,0.0392,-0.2194,0.0239,-0.8036,1.2428,4.5956,-1.4159,0.7011,1.0595,-0.4765,-1.3012,-1.9347,0.174,4.0741,-4.4704,3.1006,1.7241,1.419,4.2388,2.9258,0.7926,0.2583,-2.8531,1.8453,1.9942,-2.0112,3.3983,2.0311,0.1216,2.0106,1.5216,3.0164,0.0154,1.2078,-5.6089,2.2152,4.2656,1.5062,0.9523,1.2107,-1.9132,-0.6507,0.1985,-1.5532,0.4239,-3.5769,0.1927,-2.3324,0.5044,-7.5171,-3.7383,-1.3787,-5.3476,3.246,3.2182,-2.3581,-3.989,3.83,0.6896,-1.1004,0.602,-3.1084
1639,32.78,16,BH,follow_through,-2.4262,1.0416,0.3573,-67.56,-52.55,-26.26,-4.029,3.077,1.096,6.232,7.753,right_shoulder_roll_joint,2.038,0,1,-1.8,0.331,4.985,-0.4041,-0.0489,0.3746,0.9248,0.2534,0.5332,0.553,0.0402,-0.5359,0.0679,1.4096,0.6978,-0.9895,-0.1767,-0.3219,0.3354,-2.1244,-0.2679,0.167,-1.4769,0.9476,1.1752,-0.1194,-1.0411,0.8427,0.0611,-0.2158,0.1336,-0.8015,-0.4523,2.2291,-2.4378,-0.097,0.7994,-0.2839,-0.9976,-1.9826,0.179,3.316,-6.2321,-0.4233,1.9328,0.6578,4.7078,0.4115,1.0152,0.1324,-3.605,2.0104,0.2254,-5.8904,1.4345,1.9876,1.7848,1.3559,-0.3861,5.3156,0.1137,1.4613,-4.7617,2.0582,4.7714,1.3577,1.0534,1.2371,-1.74,-0.6212,-0.2831,-0.1991,0.8277,-3.6136,-0.6835,-2.8747,0.3136,-7.753,-3.4457,-1.6068,-5.746,3.8496,3.801,-2.381,-3.8739,3.7189,0.3579,-1.2229,0.7888,-3.7551
1640,32.8,16,BH,follow_through,-2.4256,1.0875,0.3414,-75.3,-51.88,-19.93,-3.481,1.681,-0.267,7.206,8.194,right_shoulder_roll_joint,2.149,0,1,-1.814,0.331,4.978,-0.3941,-0.0253,0.3457,0.9339,0.273,0.5285,0.5625,0.0117,-0.5323,0.106,1.2908,0.6736,-0.9618,-0.215,-0.3097,0.3127,-2.1126,-0.2668,0.0807,-1.454,0.9629,1.099,-0.1004,-1.0155,0.8708,0.0734,-0.2331,0.1984,-0.8257,0.6336,0.7537,-0.837,0.8084,0.9296,-0.1943,0.682,-1.5637,0.1484,1.2728,-7.2056,-1.6995,1.0807,-2.5083,-2.426,-2.1679,0.2546,0.0187,-4.78,0.6698,1.09,-1.9252,0.8698,0.8725,1.178,-0.0081,-0.9851,1.4454,-1.7036,1.3678,-3.7495,2.2178,6.0857,1.4862,2.2757,2.1812,-2.1208,-0.4384,-1.359,2.6893,1.2892,-3.559,-1.8527,-3.3194,0.3628,-8.1944,-2.7425,-1.6917,-6.0965,4.6502,4.2557,-2.2547,-4.0166,3.8543,-0.7058,-1.612,0.7567,-4.5083
1641,32.82,16,BH,follow_through,-2.4273,1.133,0.3202,-81.19,-53.67,-17.07,-3.507,-1.497,-2.197,6.464,9.074,right_shoulder_roll_joint,2.252,0,1,-1.829,0.33,4.967,-0.3458,-0.0656,0.3823,0.9902,0.2943,0.5255,0.6475,-0.0299,-0.5288,0.102,1.2156,0.631,-0.9514,-0.3062,-0.4286,0.2525,-2.1191,-0.2669,-0.0158,-1.4563,1.0001,1.1085,-0.0802,-1.0114,0.8946,0.0204,-0.271,0.1993,-0.8898,2.5092,-3.5466,3.0587,3.5405,0.9165,-0.1185,3.8414,-3.5535,0.1818,-0.7771,-2.8431,-2.3958,0.284,-4.7108,-6.4636,-3.4349,-0.5656,-0.0095,-4.2128,-0.434,2.1415,1.8629,1.2386,0.1117,1.1607,-3.8894,-2.0694,-0.776,-3.6534,-0.4704,-3.0515,2.8017,8.4178,2.1952,4.526,5.0867,-3.4179,0.3244,-3.3157,7.6153,1.5421,-3.5815,-3.1472,-4.1418,0.0771,-9.0744,-1.1331,-1.6702,-6.5716,5.3882,4.7277,-2.0459,-4.6184,4.619,-2.0466,-2.3085,-0.0525,-5.8048
1642,32.84,16,BH,recovery,-2.4357,1.1712,0.2904,-86.18,-58.75,-17.19,-3.793,-3.342,-4.026,11.056,12.339,right_knee_joint,2.88,0,1,-1.844,0.329,4.952,-0.2871,-0.2349,0.4831,1.1455,0.3366,0.5238,0.8535,-0.1419,-0.5125,0.1158,1.377,0.5693,-0.9574,-0.4342,-0.5578,0.1851,-2.1386,-0.2665,-0.0872,-1.4801,1.0536,1.1756,-0.0535,-1.0308,0.9435,-0.1164,-0.3431,0.1568,-1.0086,1.4844,-9.725,4.3112,8.4758,2.2631,-0.0551,10.2914,-8.0918,1.7476,0.7409,11.056,-3.6123,-0.5054,-5.6584,-5.3707,-3.1418,-1.3628,-0.0017,-3.0042,-1.4779,2.9869,3.8882,1.5535,-1.2056,2.9154,-7.785,-3.8803,-2.7013,-6.6399,-3.0363,-1.3943,3.977,8.6617,2.3807,7.1418,9.327,-4.5249,2.1648,-4.2992,12.3395,2.3917,-2.5025,-2.9245,-4.4793,-0.6874,-8.0675,0.497,-2.1619,-5.6698,5.7748,4.5711,-0.5376,-4.7777,4.9462,-3.0818,-4.4877,-1.2294,-4.4998
1643,32.86,16,BH,recovery,-2.4512,1.2013,0.2531,-94.55,-62.0,-13.99,-4.574,-1.169,-3.181,16.777,11.942,right_knee_joint,2.88,0,1,-1.858,0.328,4.933,-0.2761,-0.4359,0.5343,1.3226,0.359,0.5228,1.1714,-0.3615,-0.4318,0.1331,1.6915,0.4891,-0.9381,-0.507,-0.6527,0.1293,-2.1771,-0.2032,-0.1368,-1.467,1.1091,1.2595,0.029,-1.0596,1.0176,-0.3021,-0.5024,0.0591,-1.0774,-1.5773,-9.324,1.9527,7.5888,0.4735,-0.0388,14.1475,-11.8602,5.6527,1.7513,16.7768,-4.2672,1.8334,0.2705,-3.8466,-2.4863,-2.5534,1.6559,-2.0698,1.5466,2.8727,4.086,5.5375,-1.6857,3.8211,-8.8004,-9.3874,-5.4673,-1.9071,-3.622,-0.4912,4.9447,7.6579,1.7299,6.8515,9.3681,-4.1636,1.1616,-3.62,11.9419,3.6864,-2.5211,-1.6256,-2.5245,-0.9309,-6.3196,0.1294,-1.9726,-5.2372,4.4513,3.7262,-0.1447,-4.7215,4.7053,-3.2312,-5.4852,-1.6621,-3.4838
1644,32.88,16,BH,recovery,-2.4675,1.229,0.2113,-106.21,-63.93,-6.76,-5.024,-0.878,-2.663,13.43,11.762,right_knee_joint,2.88,0,1,-1.873,0.327,4.91,-0.3489,-0.5884,0.5733,1.4245,0.3513,0.5222,1.4215,-0.6022,-0.3239,0.1386,1.9922,0.4075,-0.8759,-0.4574,-0.6967,0.0904,-2.21,-0.1635,-0.1702,-1.4168,1.1461,1.2988,0.1784,-1.0805,1.0881,-0.4743,-0.7075,-0.0594,-1.0635,-4.4031,-6.2666,2.4103,3.7955,-0.5178,-0.0079,11.692,-11.7424,4.8964,-0.4849,13.4298,-4.9357,3.5111,1.9613,-1.5989,-2.4792,-0.8759,2.3587,-1.3883,2.6968,1.4114,0.0503,8.2373,-1.1061,3.1443,-6.7738,-9.7889,-5.3886,1.7012,-3.3865,-0.7099,5.1086,8.0075,1.8053,7.0455,9.3601,-4.5784,0.7226,-3.682,11.7618,4.0021,-2.2204,-1.7487,-1.9297,-0.7925,-5.8004,-0.5665,-1.9978,-5.1223,3.9603,3.4644,0.4381,-4.9488,4.2525,-3.2676,-5.9413,-1.8917,-2.6327
1645,32.9,16,BH,recovery,-2.4796,1.258,0.1717,-119.32,-66.59,1.61,-4.797,-2.871,-3.181,10.99,13.272,right_knee_joint,2.88,0,1,-1.887,0.326,4.884,-0.4392,-0.6973,0.6361,1.505,0.3543,0.5225,1.6405,-0.8305,-0.254,0.1122,2.2201,0.2994,-0.7975,-0.4704,-0.6913,-0.0258,-2.1937,-0.1509,-0.1936,-1.35,1.1427,1.3374,0.3514,-1.1245,1.1266,-0.5601,-0.8963,-0.1595,-0.9931,-4.611,-4.6071,3.5016,4.3286,0.7008,0.0105,9.7215,-10.9899,2.877,-1.6346,10.0391,-5.5491,3.7121,-1.3422,0.7026,-9.4763,1.8013,0.218,-0.9832,3.7651,-1.4798,6.064,8.0477,-2.5888,1.0326,-3.5541,-8.7865,-4.4864,4.1488,-3.7261,-1.3504,5.0372,9.0805,2.002,7.9402,10.3225,-5.2748,1.2441,-3.9936,13.2719,3.8394,-2.015,-2.082,-2.7288,-0.7656,-6.4773,-0.8038,-2.3811,-5.605,4.5822,4.1397,1.2436,-5.1703,4.3767,-3.4371,-6.2535,-1.7876,-2.6929
1646,32.92,16,BH,recovery,-2.4884,1.286,0.1402,-137.94,-70.78,14.67,-5.399,-5.149,-3.66,22.521,16.837,right_knee_joint,2.88,0,1,-1.902,0.326,4.853,-0.5281,-0.7723,0.7321,1.6395,0.4056,0.5225,1.8534,-1.056,-0.2278,0.0898,2.3953,0.197,-0.7272,-0.5113,-0.7192,-0.2483,-2.1609,-0.1609,-0.2098,-1.2692,1.1137,1.6062,0.4926,-1.1802,1.1353,-0.6311,-1.0683,-0.2216,-0.9133,-4.351,-3.2563,5.3097,7.4109,3.6348,-0.022,10.6947,-11.1733,0.9183,-1.8945,8.209,-4.0828,3.3471,-2.0294,-1.6489,-12.4478,-0.1943,-0.6116,-0.64,5.4095,-2.6292,22.5214,4.4732,-0.2928,-0.2386,-7.4525,-8.2729,-4.7138,3.8201,-4.5986,-1.9339,5.3344,10.8034,2.107,9.4161,12.2449,-6.3155,2.12,-3.9267,16.8371,3.2539,-1.9489,-2.613,-4.1585,-1.2941,-7.378,-0.4383,-2.709,-6.1728,5.5282,4.907,1.8395,-5.4732,4.5819,-4.0061,-6.947,-1.7698,-3.5077
1647,32.94,16,BH,recovery,-2.501,1.3089,0.123,-164.85,-74.7,37.33,-4.484,-5.812,-1.457,17.16,21.902,right_knee_joint,2.967,0,1,-1.916,0.325,4.819,-0.6905,-0.8414,0.85,1.7985,0.4592,0.5089,2.0489,-1.233,-0.2057,0.0742,2.5057,0.1286,-0.6771,-0.5779,-0.7354,-0.4676,-2.2188,-0.1507,-0.2246,-1.1745,1.0847,2.0505,0.5607,-1.235,1.1223,-0.8093,-1.2346,-0.2708,-0.876,-9.6118,-4.0019,5.6014,7.3633,0.374,-2.1633,9.1958,-3.9017,2.1845,-0.208,2.5035,-3.6412,1.7882,-3.366,0.0775,-7.6521,-4.2359,0.7608,-1.8886,2.5297,-0.3242,17.1596,3.2754,-5.1985,-0.606,-8.557,-7.9209,-1.1798,0.8023,-5.3569,-2.7514,5.9755,13.8186,2.488,11.5781,14.5705,-8.0266,2.1472,-3.5746,21.9015,2.7656,-2.7402,-3.4988,-5.3718,-2.4786,-9.0957,-0.3652,-2.9305,-6.7488,5.618,5.9417,2.5807,-6.291,5.6706,-4.9249,-8.3763,-2.3413,-4.2376
1648,32.96,16,BH,recovery,-2.5193,1.3287,0.1184,152.41,-75.84,79.18,-4.652,-9.245,1.318,12.139,27.707,right_knee_joint,2.967,0,1,-1.93,0.324,4.781,-0.8903,-0.9405,0.9954,2.0056,0.4592,0.4335,2.202,-1.2706,-0.1684,0.0788,2.5355,0.0874,-0.6573,-0.6457,-0.7666,-0.5063,-2.2934,-0.1322,-0.2608,-1.1999,1.0764,2.1798,0.6544,-1.3737,1.1375,-0.9425,-1.374,-0.3262,-0.8827,-8.8819,-4.5497,7.4856,12.139,0.1833,-4.4005,7.5996,-1.1484,2.7916,-0.4574,1.1109,-1.3944,0.1972,-2.9951,-2.6362,0.734,-1.0892,0.7791,-1.8051,-2.6663,-1.873,0.6944,6.7821,-7.3282,1.5527,-4.917,-6.1191,-3.2529,-0.7471,-6.9237,-3.5659,7.2167,16.0773,2.3906,14.1118,17.8133,-9.1849,2.179,-3.0702,27.7068,2.5003,-3.564,-3.875,-7.2366,-3.873,-12.0303,-0.0242,-2.9501,-7.1083,6.5869,6.8351,3.4088,-7.6597,6.9718,-5.9833,-10.5639,-3.1371,-4.5007
1649,32.98,16,BH,recovery,-2.541,1.3482,0.1194,119.08,-67.16,115.63,-7.043,-9.771,5.463,12.951,29.09,right_knee_joint,2.967,0,1,-1.945,0.323,4.74,-1.0974,-1.0247,1.162,2.2622,0.4644,0.3201,2.3609,-1.286,-0.061,0.0583,2.5683,0.0658,-0.6937,-0.6992,-0.7807,-0.4776,-2.2889,-0.1034,-0.2763,-1.2695,1.0943,2.1594,0.8222,-1.5392,1.2315,-1.079,-1.4732,-0.4215,-0.9137,-9.2991,-3.518,8.3121,12.9511,0.282,-6.0333,8.2669,0.3314,8.0894,-1.4526,1.9132,-1.0782,-2.855,-2.4064,1.2574,1.4697,0.7238,1.4105,-0.18,-4.1351,2.9308,-1.5931,9.0663,-7.5051,6.5318,-6.9018,-3.6278,-5.0182,-2.3747,-7.2535,-4.135,8.1138,16.9282,2.7361,15.3422,18.6807,-10.205,1.7111,-2.8684,29.0899,3.8271,-3.5004,-3.4772,-6.4282,-3.8324,-13.6053,-0.7647,-2.8728,-7.4019,6.8379,6.9265,4.3783,-8.0962,6.644,-6.7763,-11.365,-3.4763,-4.4516
