step,time_s,serve,side,phase,base_x,base_y,base_z,roll_deg,pitch_deg,yaw_deg,angvel_x,angvel_y,angvel_z,qd_absmax,act_absmax,act_argmax_joint,qdes_absmax,nan,fallen,ball_x,ball_y,ball_z,q:left_hip_pitch_joint,q:right_hip_pitch_joint,q:waist_yaw_joint,q:left_hip_roll_joint,q:right_hip_roll_joint,q:waist_roll_joint,q:left_hip_yaw_joint,q:right_hip_yaw_joint,q:waist_pitch_joint,q:left_knee_joint,q:right_knee_joint,q:left_shoulder_pitch_joint,q:right_shoulder_pitch_joint,q:left_ankle_pitch_joint,q:right_ankle_pitch_joint,q:left_shoulder_roll_joint,q:right_shoulder_roll_joint,q:left_ankle_roll_joint,q:right_ankle_roll_joint,q:left_shoulder_yaw_joint,q:right_shoulder_yaw_joint,q:left_elbow_joint,q:right_elbow_joint,q:left_wrist_roll_joint,q:right_wrist_roll_joint,q:left_wrist_pitch_joint,q:right_wrist_pitch_joint,q:left_wrist_yaw_joint,q:right_wrist_yaw_joint,qd:left_hip_pitch_joint,qd:right_hip_pitch_joint,qd:waist_yaw_joint,qd:left_hip_roll_joint,qd:right_hip_roll_joint,qd:waist_roll_joint,qd:left_hip_yaw_joint,qd:right_hip_yaw_joint,qd:waist_pitch_joint,qd:left_knee_joint,qd:right_knee_joint,qd:left_shoulder_pitch_joint,qd:right_shoulder_pitch_joint,qd:left_ankle_pitch_joint,qd:right_ankle_pitch_joint,qd:left_shoulder_roll_joint,qd:right_shoulder_roll_joint,qd:left_ankle_roll_joint,qd:right_ankle_roll_joint,qd:left_shoulder_yaw_joint,qd:right_shoulder_yaw_joint,qd:left_elbow_joint,qd:right_elbow_joint,qd:left_wrist_roll_joint,qd:right_wrist_roll_joint,qd:left_wrist_pitch_joint,qd:right_wrist_pitch_joint,qd:left_wrist_yaw_joint,qd:right_wrist_yaw_joint,act:left_hip_pitch_joint,act:right_hip_pitch_joint,act:waist_yaw_joint,act:left_hip_roll_joint,act:right_hip_roll_joint,act:waist_roll_joint,act:left_hip_yaw_joint,act:right_hip_yaw_joint,act:waist_pitch_joint,act:left_knee_joint,act:right_knee_joint,act:left_shoulder_pitch_joint,act:right_shoulder_pitch_joint,act:left_ankle_pitch_joint,act:right_ankle_pitch_joint,act:left_shoulder_roll_joint,act:right_shoulder_roll_joint,act:left_ankle_roll_joint,act:right_ankle_roll_joint,act:left_shoulder_yaw_joint,act:right_shoulder_yaw_joint,act:left_elbow_joint,act:right_elbow_joint,act:left_wrist_roll_joint,act:right_wrist_roll_joint,act:left_wrist_pitch_joint,act:right_wrist_pitch_joint,act:left_wrist_yaw_joint,act:right_wrist_yaw_joint
10,0.2,1,FH,swing,-1.5925,0.0314,0.7663,-0.23,-4.91,-15.36,0.088,0.035,-1.579,3.982,5.762,right_hip_yaw_joint,1.44,0,0,0.143,-0.354,1.799,-0.0842,-0.0092,0.0866,0.0532,0.2512,0.2504,0.2302,1.2159,-0.0494,0.5369,0.4467,0.1907,-0.0551,-0.3693,-0.2901,0.2627,-0.3052,0.0829,0.1553,-0.2909,0.5335,0.5372,1.0225,0.3145,-0.158,-0.857,0.2636,0.1057,0.4325,0.1902,0.1548,-0.3202,0.1496,0.0034,1.79,1.4296,2.1159,-1.059,0.1233,-0.3003,-0.9008,-1.1212,-0.3605,-0.0612,1.0546,-1.2078,0.4888,0.2978,-2.1263,3.9819,-0.2987,0.6299,0.947,-0.9888,-1.1896,0.8954,1.0591,0.1416,0.19,0.784,0.0658,0.4849,0.889,0.9187,0.4409,5.7617,-0.5073,0.5523,0.5615,-0.8721,-0.0637,-0.1258,2.0704,1.3738,-0.9819,0.8136,0.3726,-1.4016,3.7073,-0.4592,2.5103,1.5272,-1.0279,-3.8732,1.4613,0.8131,1.7134
11,0.22,1,FH,swing,-1.592,0.0353,0.7659,-0.2,-4.88,-16.91,0.003,0.01,-1.222,4.363,5.81,right_hip_yaw_joint,1.453,0,0,0.108,-0.351,1.838,-0.0805,-0.0058,0.0766,0.0559,0.2505,0.2873,0.2541,1.2526,-0.0688,0.5388,0.4391,0.1706,-0.0764,-0.3751,-0.2892,0.2894,-0.3276,0.0906,0.1601,-0.3328,0.6216,0.5271,1.0393,0.335,-0.1808,-0.881,0.2836,0.1286,0.4305,0.1697,0.1652,-0.5857,0.1129,-0.0467,1.86,1.036,1.6509,-0.9195,0.0646,-0.3908,-1.0993,-0.9202,-0.2398,0.1099,1.5116,-1.0126,0.336,0.2003,-1.9696,4.3632,-0.6352,0.9589,1.0093,-1.1754,-1.1437,1.0352,1.0785,-0.1918,0.2009,0.7455,0.0035,0.5012,0.8572,0.8596,0.4288,5.8103,-0.4762,0.564,0.5272,-0.852,-0.121,-0.0921,2.085,1.5061,-1.1093,0.7998,0.3712,-1.4713,3.9462,-0.5019,2.5643,1.5906,-1.0677,-3.9333,1.5374,0.8628,1.6692
12,0.24,1,FH,swing,-1.5919,0.0389,0.7655,-0.17,-4.85,-18.16,0.018,0.016,-0.988,4.026,5.841,right_hip_yaw_joint,1.46,0,0,0.073,-0.349,1.874,-0.0781,-0.0034,0.0625,0.0569,0.2482,0.3231,0.2731,1.284,-0.0863,0.5392,0.4307,0.1487,-0.096,-0.3784,-0.287,0.3241,-0.3478,0.0959,0.1644,-0.3681,0.7055,0.5111,1.0549,0.3551,-0.2023,-0.9038,0.3045,0.1497,0.4252,0.0925,0.1114,-0.7772,0.0326,-0.1302,1.776,0.811,1.4367,-0.8181,0.0211,-0.4272,-1.1488,-0.8599,-0.1305,0.1459,1.8481,-0.9519,0.2202,0.2014,-1.5883,4.0255,-0.856,0.8387,0.9515,-1.0406,-1.0793,1.0173,0.959,-0.3156,0.2115,0.7037,-0.0533,0.5431,0.8363,0.8045,0.4077,5.8412,-0.4454,0.5516,0.4892,-0.8459,-0.2027,-0.0675,2.0701,1.6273,-1.2143,0.7839,0.3639,-1.5506,4.1665,-0.5162,2.5909,1.6401,-1.1026,-3.9856,1.5865,0.9096,1.6186
13,0.26,1,FH,swing,-1.5921,0.0424,0.7653,-0.16,-4.84,-19.13,0.015,-0.002,-0.779,3.692,5.86,right_hip_yaw_joint,1.465,0,0,0.038,-0.346,1.905,-0.0767,-0.0014,0.0453,0.057,0.2447,0.3576,0.2872,1.3108,-0.1012,0.5391,0.4215,0.1255,-0.1117,-0.38,-0.2837,0.3639,-0.3669,0.0986,0.1681,-0.3966,0.7843,0.4934,1.0709,0.3733,-0.2218,-0.925,0.3246,0.1685,0.4173,0.051,0.0893,-0.8904,-0.0157,-0.1831,1.6876,0.6256,1.2452,-0.7008,-0.0103,-0.4463,-1.1813,-0.6913,-0.0471,0.1745,2.0601,-0.9428,0.0994,0.1612,-1.2537,3.6919,-0.882,0.782,0.842,-0.9139,-0.9914,0.9513,0.8556,-0.4199,0.2254,0.6556,-0.1134,0.5912,0.8205,0.7485,0.3864,5.8605,-0.4107,0.5301,0.4539,-0.8524,-0.2957,-0.0559,2.0335,1.7437,-1.2956,0.7704,0.3535,-1.6246,4.3632,-0.5168,2.6022,1.6791,-1.133,-4.0278,1.6225,0.9507,1.5695
14,0.28,1,FH,swing,-1.5928,0.0456,0.7651,-0.15,-4.88,-19.87,-0.013,-0.044,-0.587,3.438,5.872,right_hip_yaw_joint,1.468,0,0,0.004,-0.344,1.932,-0.0757,0.0006,0.0263,0.0564,0.2405,0.3904,0.2979,1.3334,-0.1135,0.5386,0.4121,0.1018,-0.1233,-0.3801,-0.2799,0.4067,-0.3859,0.0992,0.1706,-0.4192,0.8572,0.4766,1.0867,0.389,-0.2389,-0.944,0.3429,0.1852,0.4075,0.0406,0.0966,-0.9636,-0.0392,-0.211,1.5985,0.4627,1.0416,-0.5575,-0.0225,-0.4538,-1.185,-0.4429,0.0128,0.2074,2.1595,-0.943,0.0151,0.0889,-0.9983,3.4378,-0.789,0.8017,0.7236,-0.8025,-0.8798,0.8606,0.7616,-0.4903,0.2437,0.6056,-0.1767,0.6415,0.8086,0.6938,0.3658,5.8716,-0.3733,0.506,0.4229,-0.8694,-0.39,-0.0567,1.9849,1.8558,-1.3564,0.7624,0.3428,-1.6892,4.5333,-0.5128,2.6052,1.7099,-1.1585,-4.0591,1.6516,0.9818,1.524
15,0.3,1,FH,swing,-1.594,0.0487,0.765,-0.14,-4.97,-20.44,-0.028,-0.094,-0.448,3.151,5.873,right_hip_yaw_joint,1.468,0,0,-0.031,-0.341,1.955,-0.0748,0.0026,0.0061,0.0553,0.2359,0.4209,0.3061,1.3527,-0.1227,0.5379,0.403,0.079,-0.1311,-0.3793,-0.2757,0.4506,-0.4053,0.0988,0.1717,-0.4372,0.9237,0.4621,1.1019,0.4024,-0.2537,-0.9605,0.3593,0.1998,0.3967,0.0407,0.1075,-1.0137,-0.0602,-0.2277,1.4784,0.3498,0.8858,-0.4025,-0.0227,-0.4387,-1.1279,-0.2315,0.0563,0.2219,2.175,-0.9635,-0.0238,0.035,-0.8011,3.1512,-0.6611,0.7867,0.6108,-0.692,-0.7537,0.7654,0.6616,-0.5084,0.2645,0.5619,-0.2402,0.6967,0.7983,0.6424,0.3465,5.8734,-0.3398,0.4736,0.3973,-0.8957,-0.4856,-0.0746,1.928,1.9708,-1.4045,0.7618,0.331,-1.7534,4.6849,-0.5092,2.5985,1.7371,-1.1873,-4.0799,1.6704,1.0097,1.4796
16,0.32,1,FH,swing,-1.5955,0.0516,0.7648,-0.12,-5.13,-20.88,-0.012,-0.141,-0.392,2.778,5.864,right_hip_yaw_joint,1.466,0,0,-0.065,-0.338,1.974,-0.0736,0.0052,-0.0148,0.0539,0.2311,0.449,0.3123,1.3689,-0.1287,0.5373,0.3944,0.0575,-0.1333,-0.3777,-0.2712,0.494,-0.4247,0.098,0.1717,-0.4522,0.9851,0.4501,1.1174,0.4137,-0.2666,-0.9743,0.3739,0.2126,0.386,0.0529,0.1079,-1.0214,-0.0827,-0.2308,1.3283,0.316,0.809,-0.2581,-0.0402,-0.3877,-1.0033,-0.0587,0.0965,0.2124,2.1322,-1.0006,-0.0283,-0.0151,-0.6648,2.7784,-0.5508,0.7217,0.512,-0.6148,-0.6234,0.7041,0.5783,-0.5914,0.2827,0.5291,-0.3034,0.7595,0.7845,0.5891,0.3301,5.8643,-0.3132,0.4273,0.3791,-0.9304,-0.5892,-0.1201,1.8622,2.0971,-1.4459,0.7684,0.3173,-1.8224,4.825,-0.5083,2.5775,1.7619,-1.2279,-4.0883,1.6742,1.0436,1.4298
17,0.34,1,FH,swing,-1.5976,0.0539,0.7646,0.03,-5.34,-21.28,0.116,-0.243,-0.347,2.394,5.857,right_hip_yaw_joint,1.464,0,0,-0.099,-0.336,1.989,-0.0716,0.0075,-0.0379,0.0506,0.2253,0.4704,0.3186,1.3828,-0.1318,0.5357,0.3881,0.0402,-0.1358,-0.375,-0.2696,0.5381,-0.4447,0.0974,0.1711,-0.4648,1.0377,0.4396,1.12,0.423,-0.2789,-0.9854,0.3811,0.2242,0.3702,0.0869,0.0839,-1.1951,-0.1763,-0.2889,0.8988,0.3399,0.6348,-0.1425,-0.0694,-0.2525,-0.7574,-0.2249,0.1404,0.023,2.2092,-0.9622,-0.0274,-0.0116,-0.5817,2.3935,-0.4693,-0.2717,0.4288,-0.6455,-0.4936,0.1451,0.5364,-1.0253,0.3154,0.5059,-0.3622,0.8341,0.7708,0.5658,0.2887,5.8574,-0.2864,0.3712,0.3815,-0.9633,-0.7005,-0.207,1.8167,2.2426,-1.5409,0.8039,0.2991,-1.9133,4.965,-0.5342,2.5735,1.7899,-1.3129,-4.0917,1.6631,1.1035,1.3914
18,0.36,1,FH,swing,-1.6001,0.0559,0.7643,0.16,-5.62,-21.69,-0.02,-0.281,-0.335,2.38,5.862,right_hip_yaw_joint,1.465,0,0,-0.133,-0.333,2.0,-0.069,0.0101,-0.0608,0.0487,0.2211,0.489,0.3248,1.3939,-0.133,0.5348,0.3825,0.025,-0.1398,-0.3726,-0.2668,0.5803,-0.4626,0.0981,0.1701,-0.4789,1.0872,0.4315,1.1212,0.4316,-0.2924,-0.9935,0.3854,0.2362,0.3568,0.1452,0.1457,-1.0738,-0.0508,-0.1639,0.9278,0.2881,0.5116,-0.0339,-0.0332,-0.2789,-0.7445,-0.1171,0.12,0.2132,1.9908,-0.8469,0.063,-0.0616,-0.735,2.3802,-0.3601,0.2726,0.4141,-0.6521,-0.3479,0.2659,0.5665,-0.4743,0.3289,0.5132,-0.4335,0.8621,0.7389,0.5374,0.2892,5.8616,-0.2625,0.3412,0.3752,-0.9803,-0.7548,-0.2575,1.7762,2.3811,-1.587,0.8284,0.2919,-1.9758,5.0708,-0.5732,2.5867,1.8319,-1.3734,-4.1,1.6911,1.1243,1.3677
19,0.38,1,FH,swing,-1.6031,0.0578,0.7642,0.26,-6.0,-22.05,-0.028,-0.348,-0.316,2.019,5.855,right_hip_yaw_joint,1.464,0,0,-0.167,-0.331,2.007,-0.065,0.0139,-0.0824,0.0475,0.2177,0.5062,0.3302,1.4032,-0.1319,0.5337,0.3768,0.0117,-0.1412,-0.3698,-0.2622,0.6186,-0.4788,0.1003,0.1687,-0.4944,1.1329,0.4234,1.128,0.4404,-0.3064,-0.9995,0.3912,0.2471,0.3446,0.2011,0.179,-1.0703,-0.0654,-0.1637,0.7959,0.2802,0.4456,0.0678,-0.0687,-0.2597,-0.5657,-0.0741,0.165,0.2318,1.8354,-0.8076,0.1183,-0.0762,-0.7503,2.0195,-0.4301,0.2118,0.4263,-0.7535,-0.2741,0.2041,0.4917,-1.1153,0.3346,0.5139,-0.4895,0.9215,0.7131,0.5019,0.2786,5.8547,-0.2413,0.2927,0.3705,-0.9944,-0.8314,-0.3472,1.7315,2.5261,-1.6352,0.8519,0.271,-2.0441,5.1657,-0.6046,2.5893,1.8623,-1.4334,-4.097,1.7044,1.1586,1.3232
